Gene	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3	E1	E2	E3	F1	F2	F3	G1	G2	G3	H1	H2	H3
0610005C13Rik	1	0	3	19	11	0	0	0	1	0	1	7	0	0	0	0	0	1	0	0	0	9	1	0
0610006L08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	234	209	178	143	123	260	154	76	134	139	195	147	164	156	96	196	60	101	120	70	134	123	194	206
0610009E02Rik	19	23	0	31	6	60	4	10	4	0	21	6	0	17	20	12	16	15	18	28	30	0	9	8
0610009L18Rik	72	28	42	13	51	95	24	26	25	6	72	56	34	99	125	49	49	40	72	29	31	8	47	49
0610010F05Rik	1044	997	901	824	1207	873	1115	867	909	932	1226	895	1139	1216	1198	1051	849	742	1019	863	757	666	885	960
0610010K14Rik	16	1	19	4	0	0	8	1	61	0	1	32	31	11	14	8	22	0	24	4	9	11	2	9
0610012D04Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610012G03Rik	480	589	329	399	336	587	543	529	620	625	569	495	558	725	459	463	366	449	383	319	367	423	401	306
0610025J13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	1290	1310	1308	1407	1271	1634	1469	1023	1508	1091	1704	1269	1762	1507	1360	1373	1340	1464	1329	854	1081	1156	1248	1345
0610031O16Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	561	451	791	572	628	669	558	543	860	686	384	639	775	636	462	745	519	511	610	489	400	375	421	473
0610038B21Rik	6	60	1	32	31	0	7	40	26	32	19	23	46	51	8	8	36	38	34	73	53	13	74	50
0610039K10Rik	58	20	50	16	18	65	13	13	64	50	24	0	16	10	17	21	8	25	43	20	30	9	7	21
0610040B10Rik	24	26	17	25	28	53	25	0	24	13	28	26	26	3	29	17	16	10	12	2	21	1	15	23
0610040F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0610040J01Rik	61	12	4	43	0	16	16	23	11	37	39	16	0	0	1	0	29	1	0	5	0	34	10	11
0610043K17Rik	57	22	164	17	5	44	11	54	88	12	4	18	88	27	77	55	10	20	5	29	26	0	0	25
0710001A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010001B22Rik	3	7	0	1	1	1	0	0	8	0	8	22	24	1	11	0	0	1	0	15	7	16	0	0
1010001N08Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1100001I12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	11	0	0	0	0	0	0	0	0	6	0	0	0	0	14	0	0	0	0	0	0	0	1	3
