TF	Target
NFKB	Aagab
REL	Aagab
NFKB1	Aagab
RELA	Aagab
NFKB2	Aars2
RELA	Aars2
NFKB	Aars2
NFKB1	Aars2
REL	Aars2
REL	Abca1
RELA	Abca1
NFKB	Abca1
RELA	Abca7
NFKB	Abca7
NFKB	Abcb6
REL	Abcb6
RELA	Abcb6
REL	Abcb9
NFKB	Abcb9
NFKB	Abcf1
NFKB1	Abcf1
NFKB	Abcg1
NFKB1	Abcg1
REL	Abcg1
NFKB	Abhd17a
NFKB1	Abhd17a
NFKB	Abi3
NFKB	Abr
NFKB	Acap1
NFKB1	Acap1
NFKB2	Acap1
REL	Acap1
NFKB	Acot13
NFKB	Acox1
REL	Acp2
NFKB	Acp2
RELA	Acp2
NFKB	Acsf3
NFKB2	Acsf3
NFKB1	Acsf3
REL	Acsf3
RELA	Acsf3
NFKB	Actb
RELA	Actr1a
NFKB	Actr1a
RELA	Actr5
NFKB	Actr5
NFKB	Adal
NFKB	Adarb1
NFKB1	Adarb1
NFKB1	Adat3
NFKB	Adat3
NFKB	Adcy7
NFKB	Adipor1
NFKB2	Adipor1
REL	Adipor1
RELA	Adipor1
NFKB1	Adipor1
NFKB	Aebp2
NFKB2	Agfg1
NFKB1	Agfg1
NFKB	Agfg1
NFKB	Ago1
NFKB	Ago3
NFKB1	Ago3
NFKB1	Agpat3
NFKB	Agpat3
NFKB	Ahcyl2
NFKB1	Ahnak
RELA	Ahnak
NFKB2	Ahnak
NFKB	Ahnak
NFKB	Ahr
NFKB1	Ahr
NFKB	Ahsa1
REL	Ahsa1
NFKB1	Ahsa1
RELA	Ahsa1
NFKB	Ak1
NFKB	Ak2
RELA	Akap11
NFKB	Akap11
REL	Akap11
NFKB	Akirin2
RELA	Akirin2
NFKB1	Akirin2
NFKB2	Akirin2
NFKB2	Alas1
NFKB	Alas1
RELA	Alas1
NFKB1	Alas1
NFKB	Aldh16a1
NFKB1	Aldh16a1
NFKB2	Aldh16a1
NFKB	Aldh1b1
NFKB1	Aldh1b1
NFKB2	Aldh1b1
RELA	Aldoc
NFKB2	Aldoc
NFKB	Aldoc
NFKB	Alg1
NFKB2	Alg1
NFKB1	Alg1
NFKB2	Alg12
NFKB	Alg12
NFKB1	Alg12
RELA	Alg6
NFKB	Alg6
REL	Alg6
NFKB	Alkbh1
NFKB1	Alkbh6
NFKB	Alkbh6
NFKB2	Alkbh6
NFKB2	Alox5
NFKB	Alox5
NFKB1	Alox5
NFKB	Alpk1
REL	Angel1
NFKB	Angel1
RELA	Angel1
NFKB1	Angel1
NFKB	Ankhd1
NFKB	Ankhd1
NFKB	Ankra2
NFKB1	Ankra2
NFKB1	Ankrd16
NFKB	Ankrd16
RELA	Ankrd39
NFKB	Ankrd39
REL	Ankrd39
NFKB	Ankzf1
RELA	Ankzf1
REL	Ankzf1
NFKB	Anln
NFKB1	Anln
NFKB2	Anln
NFKB	Anp32e
NFKB1	Anp32e
NFKB	Anxa4
RELA	Anxa4
NFKB1	Anxa6
NFKB	Anxa6
NFKB	Aoah
NFKB1	Aoah
NFKB2	Aoah
NFKB	Ap1ar
NFKB	Ap1m1
NFKB1	Ap3d1
NFKB	Ap3d1
NFKB	Ap4m1
NFKB1	Apba3
NFKB	Apba3
RELA	Apba3
NFKB1	Aplf
NFKB2	Aplf
NFKB	Aplf
RELA	Aplf
REL	Aplf
REL	Appl1
RELA	Appl1
NFKB	Appl1
NFKB1	Aprt
REL	Aprt
RELA	Aprt
NFKB2	Aprt
NFKB	Aprt
RELA	Arap1
NFKB	Arap1
NFKB	Arcn1
REL	Arfgap2
NFKB	Arfgap2
RELA	Arfgap2
RELA	Arfgap3
NFKB1	Arfgap3
NFKB	Arfgap3
NFKB	Arfgef1
RELA	Arhgap12
NFKB1	Arhgap12
NFKB	Arhgap12
RELA	Arhgap24
NFKB2	Arhgap24
NFKB	Arhgap24
NFKB1	Arhgap24
RELA	Arhgap25
NFKB	Arhgap25
NFKB1	Arhgap25
REL	Arhgap25
NFKB	Arhgap31
RELA	Arhgef17
NFKB	Arhgef17
RELA	Arhgef2
NFKB	Arhgef2
NFKB2	Arhgef2
NFKB1	Arhgef40
NFKB2	Arhgef40
NFKB	Arhgef40
RELA	Arhgef40
NFKB1	Arhgef9
NFKB	Arhgef9
NFKB	Arid1a
RELA	Arid1a
REL	Arid1a
RELA	Arid3a
NFKB	Arid3a
RELA	Arid5a
NFKB	Arid5a
REL	Arid5a
RELA	Arl2bp
