"263_S5"	"265_S6"	"268_S4"	"276_S2"	"277_S3"	"287_S1"
"ENSMUSG00000102948"	0	0	2	0	0	0
"ENSMUSG00000025902"	0	0	0	0	0	6
"ENSMUSG00000102269"	0	0	5	0	0	0
"ENSMUSG00000102735"	0	0	8	0	0	0
"ENSMUSG00000098104"	2	1	2	3	2	2
"ENSMUSG00000102175"	0	0	0	1	0	1
"ENSMUSG00000103922"	2	2	11	2	0	3
"ENSMUSG00000033845"	68	120	173	166	106	166
"ENSMUSG00000025903"	56	528	243	248	427	265
"ENSMUSG00000033813"	34	226	167	198	30	255
"ENSMUSG00000062588"	6	2	126	0	2	10
"ENSMUSG00000002459"	0	0	0	0	0	18
"ENSMUSG00000033793"	112	253	205	125	260	458
"ENSMUSG00000025907"	97	459	8	78	495	787
"ENSMUSG00000090031"	4	19	0	17	72	40
"ENSMUSG00000103355"	0	1	9	1	0	0
"ENSMUSG00000104385"	0	1	114	0	0	0
"ENSMUSG00000102135"	0	10	5	5	0	4
"ENSMUSG00000051285"	144	233	3	121	558	266
"ENSMUSG00000103509"	0	0	0	0	1	21
"ENSMUSG00000048538"	0	1	52	0	0	0
"ENSMUSG00000097797"	0	10	0	1	0	0
"ENSMUSG00000086235"	0	16	0	0	0	0
"ENSMUSG00000084353"	0	1	16	0	0	0
"ENSMUSG00000076135"	2	3	5	1	2	2
"ENSMUSG00000066693"	0	0	8	0	0	0
"ENSMUSG00000102871"	0	0	14	0	0	0
"ENSMUSG00000101571"	0	0	2	0	0	0
"ENSMUSG00000061024"	78	130	2	64	0	19
"ENSMUSG00000025911"	0	0	1	58	0	10
"ENSMUSG00000079671"	0	67	0	9	0	0
"ENSMUSG00000081441"	0	0	2	0	0	0
"ENSMUSG00000067879"	21	0	0	0	0	0
"ENSMUSG00000025912"	0	0	60	1	2	0
"ENSMUSG00000045210"	62	419	6	133	565	968
"ENSMUSG00000097893"	3	0	0	0	0	0
"ENSMUSG00000025915"	37	499	371	432	1695	206
"ENSMUSG00000046101"	0	1	24	3	1	12
"ENSMUSG00000098234"	4	8	7	3	5	13
"ENSMUSG00000099032"	0	0	0	10	0	0
"ENSMUSG00000025916"	8	0	0	0	1	0
"ENSMUSG00000087199"	2	0	33	0	0	0
"ENSMUSG00000025917"	84	599	813	342	20	192
"ENSMUSG00000056763"	85	375	553	268	395	562
"ENSMUSG00000067851"	23	468	39	97	500	659
"ENSMUSG00000042501"	8	34	0	14	0	1
"ENSMUSG00000083422"	0	1	49	0	0	17
"ENSMUSG00000100648"	0	1	1	0	1	0
"ENSMUSG00000048960"	5	3	0	22	0	1
"ENSMUSG00000101610"	0	0	24	0	0	0
"ENSMUSG00000097628"	0	0	2	0	1	0
"ENSMUSG00000016918"	111	426	0	573	647	412
"ENSMUSG00000025938"	0	32	5	7	0	0
"ENSMUSG00000042414"	0	0	0	0	0	4
"ENSMUSG00000005886"	7	374	254	52	35	233
"ENSMUSG00000103495"	0	56	0	0	0	6
"ENSMUSG00000102639"	3	0	14	0	0	0
"ENSMUSG00000103085"	0	0	0	20	0	0
"ENSMUSG00000025935"	179	1310	646	1248	1010	1056
"ENSMUSG00000025937"	6	1	7	63	225	177
"ENSMUSG00000025932"	0	12	0	47	0	45
"ENSMUSG00000025930"	3	27	0	22	93	35
"ENSMUSG00000082193"	3	4	25	11	19	5
"ENSMUSG00000032769"	0	130	0	0	0	178
"ENSMUSG00000101652"	0	1	0	1	2	0
"ENSMUSG00000025925"	2	43	18	129	0	132
"ENSMUSG00000100652"	0	0	2	0	0	0
"ENSMUSG00000043716"	317	1270	959	1402	1031	1379
"ENSMUSG00000025921"	8	290	0	102	403	13
"ENSMUSG00000025920"	20	1	93	77	0	1
"ENSMUSG00000025939"	14	439	0	86	101	482
"ENSMUSG00000102457"	0	0	0	2	0	3
"ENSMUSG00000079658"	108	530	216	88	275	449
"ENSMUSG00000100959"	0	0	5	0	0	0
"ENSMUSG00000025940"	34	463	1	164	440	369
"ENSMUSG00000025779"	5	52	0	5	19	8
"ENSMUSG00000091020"	0	0	12	0	0	1
"ENSMUSG00000042686"	0	0	5	0	0	17
"ENSMUSG00000100398"	0	33	0	0	0	0
"ENSMUSG00000101589"	0	2	16	2	0	0
"ENSMUSG00000102048"	0	1	3	1	1	0
"ENSMUSG00000067780"	11	16	0	0	0	0
"ENSMUSG00000100053"	0	0	0	54	0	13
"ENSMUSG00000085125"	48	1	0	187	0	0
"ENSMUSG00000025776"	36	548	2	441	235	137
"ENSMUSG00000099895"	1	65	0	1	0	1
"ENSMUSG00000100554"	0	2	20	0	0	0
"ENSMUSG00000101685"	0	0	10	0	0	1
"ENSMUSG00000100720"	0	2	0	1	1	0
"ENSMUSG00000100204"	0	0	4	0	0	1
"ENSMUSG00000041859"	83	5	639	843	10	197
"ENSMUSG00000025931"	9	302	0	71	0	124
"ENSMUSG00000041809"	11	0	8	0	0	0
"ENSMUSG00000041779"	33	102	0	193	688	398
"ENSMUSG00000025933"	16	0	8	0	0	0
"ENSMUSG00000094436"	0	0	0	0	0	7
"ENSMUSG00000085679"	5	0	0	0	0	0
"ENSMUSG00000028033"	20	47	0	14	425	127
"ENSMUSG00000104138"	0	0	0	0	122	17
"ENSMUSG00000082935"	2	26	187	15	3	2
"ENSMUSG00000103748"	0	0	0	7	0	10
"ENSMUSG00000102766"	0	2	0	0	3	14
"ENSMUSG00000100775"	0	0	0	4	0	0
"ENSMUSG00000026158"	4	0	1	23	0	36
"ENSMUSG00000026156"	2	18	0	0	0	0
"ENSMUSG00000026155"	2	97	24	12	0	0
"ENSMUSG00000026154"	9	45	0	7	76	49
"ENSMUSG00000026153"	14	816	3	496	194	505
"ENSMUSG00000102398"	0	0	0	0	34	0
"ENSMUSG00000026147"	100	678	0	1270	434	282
"ENSMUSG00000099997"	1	0	53	4	11	12
"ENSMUSG00000100131"	2	9	7	11	15	16
"ENSMUSG00000101111"	5	62	26	33	38	23
"ENSMUSG00000100862"	17	73	37	9	26	26
"ENSMUSG00000102070"	3	17	2	1	3	4
"ENSMUSG00000101249"	11	12	29	9	15	8
"ENSMUSG00000073725"	98	935	201	442	1170	1026
"ENSMUSG00000033569"	4	0	0	0	0	0
"ENSMUSG00000101301"	0	0	2	0	0	0
"ENSMUSG00000103924"	2	0	0	0	0	0
"ENSMUSG00000073722"	2	0	0	0	0	0
"ENSMUSG00000101372"	0	0	5	0	0	0
"ENSMUSG00000086240"	0	5	7	11	3	5
"ENSMUSG00000058590"	0	0	6	0	0	0
"ENSMUSG00000099492"	10	46	280	42	54	52
"ENSMUSG00000100261"	0	0	0	6	0	1
"ENSMUSG00000048874"	3	277	147	291	233	430
"ENSMUSG00000103783"	0	0	0	0	0	47
"ENSMUSG00000104315"	31	0	0	5	120	0
"ENSMUSG00000117310"	0	2	0	0	0	0
"ENSMUSG00000026064"	11	40	0	0	9	0
"ENSMUSG00000070960"	0	0	0	0	0	2
"ENSMUSG00000100481"	0	0	7	2	0	0
"ENSMUSG00000100590"	0	0	6	0	0	0
"ENSMUSG00000026134"	50	248	5	79	185	2
"ENSMUSG00000101682"	0	1	14	0	2	0
"ENSMUSG00000004768"	19	393	2	297	368	445
"ENSMUSG00000042215"	55	1	131	49	179	64
"ENSMUSG00000042197"	45	34	13	273	499	622
"ENSMUSG00000081402"	2	0	4	0	1	3
"ENSMUSG00000042182"	6	0	0	0	24	68
"ENSMUSG00000104416"	0	0	0	0	0	30
"ENSMUSG00000026131"	320	1104	13	2133	1621	3702
"ENSMUSG00000103596"	3	0	0	2	17	0
"ENSMUSG00000103364"	0	16	0	17	0	0
"ENSMUSG00000105982"	0	3	0	2	0	1
"ENSMUSG00000102336"	17	0	0	10	1	119
"ENSMUSG00000042111"	22	469	166	244	0	206
"ENSMUSG00000026127"	55	39	19	270	172	267
"ENSMUSG00000026126"	4	1	126	15	4	0
