Geneid	WT_PBS_YFP_POS_rep1	WT_PBS_YFP_POS_rep2	WT_PBS_YFP_POS_rep3	WT_PBS_YFP_NEG_rep1	WT_PBS_YFP_NEG_rep2	WT_PBS_YFP_NEG_rep3	WT_IL1_YFP_POS_rep1	WT_IL1_YFP_POS_rep2	WT_IL1_YFP_POS_rep3	WT_IL1_YFP_NEG_rep1	WT_IL1_YFP_NEG_rep2	WT_IL1_YFP_NEG_rep3
0610005C13Rik	10	4	17	28	22	15	13	27	27	0	21	15
0610006L08Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610007P14Rik	615	600	701	459	646	585	738	716	524	684	772	552
0610009B22Rik	248	215	177	138	134	279	134	85	132	172	208	196
0610009E02Rik	21	7	0	23	6	73	1	7	9	1	64	15
0610009L18Rik	71	32	39	21	46	106	24	16	25	0	71	53
0610009O20Rik	1392	1279	1129	936	1255	1436	1356	1119	1896	1359	1356	1008
0610010B08Rik	0	0	0	1	0	1	0	3	0	0	9	0
0610010F05Rik	1134	1029	1016	953	1205	912	1141	900	908	952	1264	997
0610010K14Rik	0	0	0	0	0	0	2	0	1	0	0	0
0610011F06Rik	313	340	399	242	311	343	361	350	422	300	400	363
0610012G03Rik	450	563	335	393	324	567	526	533	618	595	560	479
0610025J13Rik	2	0	0	0	0	0	0	2	12	0	0	0
0610030E20Rik	0	0	0	0	1	0	0	0	0	0	0	0
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	465	347	631	432	486	497	431	396	654	530	278	532
0610038B21Rik	49	36	60	11	32	52	11	22	24	22	0	36
0610039H22Rik	184	108	141	154	140	59	40	165	156	18	46	231
0610039K10Rik	342	263	222	166	170	211	175	180	287	114	116	280
0610040B10Rik	13	0	0	19	7	21	13	0	15	13	9	7
0610040F04Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610040J01Rik	82	7	4	41	0	13	16	17	11	28	36	15
0610043K17Rik	56	29	163	21	5	47	3	50	94	9	12	50
1010001N08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1100001I12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110001J03Rik	328	398	256	263	271	290	421	263	391	475	488	220
1110002J07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110002L01Rik	146	81	76	107	133	178	131	107	243	194	111	92
1110002O04Rik	0	0	0	0	0	0	0	0	0	4	0	0
1110004E09Rik	618	1422	802	804	834	942	1731	782	1010	1615	1270	974
1110004F10Rik	4345	4217	3644	3775	3760	3837	5152	3454	4420	4807	4744	3686
1110006O24Rik	13	18	17	11	7	24	3	15	0	0	3	57
1110008F13Rik	1152	1399	1385	982	1261	1650	1573	1274	1433	2130	2251	1087
1110008L16Rik	812	671	854	425	693	666	621	547	708	819	951	635
1110008P14Rik	56	179	6	41	116	44	148	93	106	130	186	131
1110012L19Rik	208	188	157	115	142	212	184	109	88	207	297	84
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110018N20Rik	4	0	16	8	11	12	2	5	1	28	1	0
1110019D14Rik	96	69	201	63	33	61	59	48	103	60	76	77
1110020A21Rik	1	17	3	18	8	2	1	0	20	7	24	0
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	210	124	234	135	248	276	150	138	238	169	274	222
1110032F04Rik	0	13	0	0	2	0	4	0	49	0	0	0
1110034G24Rik	79	7	75	23	35	21	39	65	95	107	49	62
1110036E04Rik	5	0	0	0	0	0	0	0	0	0	0	0
1110037F02Rik	3521	3027	3236	3105	2870	3170	4082	2892	3697	3600	4380	2886
1110038B12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110038F14Rik	705	695	739	733	701	574	868	714	833	953	854	817
1110046J04Rik	2	11	0	0	8	12	0	0	0	0	0	0
1110051M20Rik	673	484	494	415	572	488	265	556	430	371	542	483
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110058D11Rik	58	0	7	10	0	0	8	10	27	0	0	0
1110059E24Rik	589	583	784	712	530	623	894	666	724	920	1015	577
1110059G10Rik	252	118	105	166	255	147	151	106	202	312	135	190
1110065P20Rik	57	54	111	52	62	45	97	39	110	122	81	67
1190002N15Rik	553	645	701	522	707	563	651	507	346	518	631	444
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	0	0	8	0	0	0	6	5	0	13	0	0
1190007I07Rik	258	268	284	225	260	214	323	226	233	223	205	156
1190028D05Rik	0	0	0	0	0	0	0	0	0	9	0	0
1300002E11Rik	124	198	88	246	153	187	154	154	172	103	210	136
1300017J02Rik	12	2	2	0	0	3	0	0	0	6	0	0
1500002F19Rik	0	22	15	20	35	0	6	6	24	25	4	5
1500004A13Rik	51	77	43	198	267	225	1	13	32	139	118	206
1500009C09Rik	0	0	0	0	6	0	0	0	0	5	0	0
1500009L16Rik	532	297	358	208	190	356	161	243	169	163	355	304
1500011B03Rik	323	316	342	332	305	273	198	259	630	309	390	214
1500011K16Rik	375	204	157	209	221	301	197	257	190	159	235	176
1500012K07Rik	0	0	0	0	0	0	0	0	0	9	0	0
1500015A07Rik	247	222	208	94	77	132	136	112	146	64	50	184
1500015L24Rik	2	0	0	0	0	0	0	0	0	0	0	0
1500015O10Rik	6	0	0	0	0	11	0	0	0	19	0	16
1500017E21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1500026H17Rik	0	0	8	0	4	0	0	0	16	7	0	0
1500035N22Rik	44	31	47	76	85	41	34	31	33	63	87	26
1520401A03Rik	0	0	0	4	16	0	4	0	0	0	0	0
1600002D24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600002H07Rik	608	358	456	406	500	470	365	382	495	295	544	437
1600002K03Rik	98	131	63	117	116	112	246	148	158	129	280	118
1600010M07Rik	0	0	0	13	0	0	0	0	0	0	10	0
1600012H06Rik	149	212	162	156	228	215	212	164	275	183	285	196
1600014C10Rik	476	398	387	405	419	426	627	561	336	662	747	436
1600014C23Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	292	121	286	163	163	179	68	125	197	79	279	138
1600023N17Rik	13	40	26	0	42	16	6	0	0	0	18	15
1600025M17Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600029I14Rik	4	3	2	20	0	22	17	0	9	7	0	0
1600029O15Rik	0	0	0	0	0	0	0	0	0	18	0	0
1700001C02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001C19Rik	1	3	7	63	15	3	13	0	40	47	8	59
1700001D01Rik	37	13	9	8	35	18	6	36	18	0	0	31
1700001F09Rik	0	0	0	0	0	0	0	0	0	4	0	0
1700001G01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	0	18	1	6	0	0	0	0	12	0	5	10
1700001G17Rik	20	9	4	16	42	9	22	52	21	7	16	32
1700001J03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001K19Rik	30	123	47	50	146	119	22	25	71	29	60	73
1700001K23Rik	0	13	0	7	20	0	0	27	0	0	0	5
1700001L05Rik	177	193	213	185	226	188	251	63	90	222	247	66
1700001L19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001O22Rik	39	6	7	136	21	32	15	0	92	0	62	2
1700001P01Rik	26	14	29	0	10	0	3	3	0	0	8	5
1700003C15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003E16Rik	0	0	0	0	0	0	5	9	0	0	0	0
1700003E24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	10	8	36	49	7	3	1	0	85	0	0	16
1700003G13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003G18Rik	3	0	0	4	0	0	0	0	0	16	5	2
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003M07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700006H20Rik	3	19	2	14	0	14	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700007E05Rik	0	0	0	0	2	4	0	4	0	0	0	3
