"ensembl_gene_id"	"external_gene_name"	"hgnc_symbol"	"mgi_symbol"
"1"	"ENSMUSG00000000194"	"Gpr107"	""	"Gpr107"
"2"	"ENSMUSG00000000247"	"Lhx2"	""	"Lhx2"
"3"	"ENSMUSG00000000544"	"Gpa33"	""	"Gpa33"
"4"	"ENSMUSG00000000817"	"Fasl"	""	"Fasl"
"5"	"ENSMUSG00000000889"	"Dbh"	""	"Dbh"
"6"	"ENSMUSG00000001138"	"Cnnm3"	""	"Cnnm3"
"7"	"ENSMUSG00000001143"	"Lman2l"	""	"Lman2l"
"8"	"ENSMUSG00000001305"	"Rrp15"	""	"Rrp15"
"9"	"ENSMUSG00000001674"	"Ddx18"	""	"Ddx18"
"10"	"ENSMUSG00000001855"	"Nup214"	""	"Nup214"
"11"	"ENSMUSG00000001864"	"Aif1l"	""	"Aif1l"
"12"	"ENSMUSG00000002107"	"Celf2"	""	"Celf2"
"13"	"ENSMUSG00000002459"	"Rgs20"	""	"Rgs20"
"14"	"ENSMUSG00000002546"	"Golga2"	""	"Golga2"
"15"	"ENSMUSG00000002550"	"Uck1"	""	"Uck1"
"16"	"ENSMUSG00000002881"	"Nab1"	""	"Nab1"
"17"	"ENSMUSG00000003051"	"Elf3"	""	"Elf3"
"18"	"ENSMUSG00000003134"	"Tbc1d8"	""	"Tbc1d8"
"19"	"ENSMUSG00000003135"	"Cnot11"	""	"Cnot11"
"20"	"ENSMUSG00000003418"	"St8sia6"	""	"St8sia6"
"21"	"ENSMUSG00000003458"	"Ncstn"	""	"Ncstn"
"22"	"ENSMUSG00000003464"	"Pex19"	""	"Pex19"
"23"	"ENSMUSG00000003721"	"Insig2"	""	"Insig2"
"24"	"ENSMUSG00000004031"	"Brinp2"	""	"Brinp2"
"25"	"ENSMUSG00000004105"	"Angptl2"	""	"Angptl2"
"26"	"ENSMUSG00000004110"	"Cacna1e"	""	"Cacna1e"
"27"	"ENSMUSG00000004113"	"Cacna1b"	""	"Cacna1b"
"28"	"ENSMUSG00000004364"	"Cul3"	""	"Cul3"
"29"	"ENSMUSG00000004451"	"Ralb"	""	"Ralb"
"30"	"ENSMUSG00000004552"	"Ctse"	""	"Ctse"
"31"	"ENSMUSG00000004707"	"Ly9"	""	"Ly9"
"32"	"ENSMUSG00000004709"	"Cd244a"	""	"Cd244a"
"33"	"ENSMUSG00000004768"	"Rab23"	""	"Rab23"
"34"	"ENSMUSG00000004872"	"Pax3"	""	"Pax3"
"35"	"ENSMUSG00000004880"	"Lbr"	""	"Lbr"
"36"	"ENSMUSG00000005338"	"Cadm3"	""	"Cadm3"
"37"	"ENSMUSG00000005339"	"Fcer1a"	""	"Fcer1a"
"38"	"ENSMUSG00000005501"	"Usp40"	""	"Usp40"
"39"	"ENSMUSG00000005674"	"Tomm40l"	""	"Tomm40l"
"40"	"ENSMUSG00000005677"	"Nr1i3"	""	"Nr1i3"
"41"	"ENSMUSG00000005681"	"Apoa2"	""	"Apoa2"
"42"	"ENSMUSG00000005763"	"Cd247"	""	"Cd247"
"43"	"ENSMUSG00000005886"	"Ncoa2"	""	"Ncoa2"
"44"	"ENSMUSG00000006005"	"Tpr"	""	"Tpr"
"45"	"ENSMUSG00000006007"	"Pdc"	""	"Pdc"
"46"	"ENSMUSG00000006010"	"Odr4"	""	"Odr4"
"47"	"ENSMUSG00000006014"	"Prg4"	""	"Prg4"
"48"	"ENSMUSG00000006299"	"Aamp"	""	"Aamp"
"49"	"ENSMUSG00000006301"	"Tmbim1"	""	"Tmbim1"
"50"	"ENSMUSG00000006304"	"Arpc2"	""	"Arpc2"
"51"	"ENSMUSG00000006403"	"Adamts4"	""	"Adamts4"
"52"	"ENSMUSG00000006411"	"Nectin4"	""	"Nectin4"
"53"	"ENSMUSG00000006412"	"Pfdn2"	""	"Pfdn2"
"54"	"ENSMUSG00000006469"	"Slc34a3"	""	"Slc34a3"
"55"	"ENSMUSG00000006471"	"Ndor1"	""	"Ndor1"
"56"	"ENSMUSG00000006476"	"Nsmf"	""	"Nsmf"
"57"	"ENSMUSG00000006538"	"Ihh"	""	"Ihh"
"58"	"ENSMUSG00000006542"	"Prkag3"	""	"Prkag3"
"59"	"ENSMUSG00000006546"	"Cryba2"	""	"Cryba2"
"60"	"ENSMUSG00000006576"	"Slc4a3"	""	"Slc4a3"
"61"	"ENSMUSG00000007097"	"Atp1a2"	""	"Atp1a2"
"62"	"ENSMUSG00000007107"	"Atp1a4"	""	"Atp1a4"
"63"	"ENSMUSG00000007122"	"Casq1"	""	"Casq1"
"64"	"ENSMUSG00000007476"	"Lrrc8a"	""	"Lrrc8a"
"65"	"ENSMUSG00000007805"	"Twist2"	""	"Twist2"
"66"	"ENSMUSG00000008136"	"Fhl2"	""	"Fhl2"
"67"	"ENSMUSG00000008475"	"Arpc5"	""	"Arpc5"
"68"	"ENSMUSG00000009030"	"Pdcl"	""	"Pdcl"
"69"	"ENSMUSG00000009214"	"Mymk"	""	"Mymk"
"70"	"ENSMUSG00000009216"	"Fam163b"	""	"Fam163b"
"71"	"ENSMUSG00000009418"	"Nav1"	""	"Nav1"
"72"	"ENSMUSG00000009551"	"6330409D20Rik"	""	"6330409D20Rik"
"73"	"ENSMUSG00000009555"	"Cdk9"	""	"Cdk9"
"74"	"ENSMUSG00000009563"	"Tor2a"	""	"Tor2a"
"75"	"ENSMUSG00000009566"	"Fpgs"	""	"Fpgs"
"76"	"ENSMUSG00000009614"	"Sardh"	""	"Sardh"
"77"	"ENSMUSG00000009621"	"Vav2"	""	"Vav2"
"78"	"ENSMUSG00000009633"	"G0s2"	""	"G0s2"
"79"	"ENSMUSG00000009772"	"Nuak2"	""	"Nuak2"
"80"	"ENSMUSG00000009905"	"Kdsr"	""	"Kdsr"
"81"	"ENSMUSG00000009907"	"Vps4b"	""	"Vps4b"
"82"	"ENSMUSG00000010175"	"Prox1"	""	"Prox1"
"83"	"ENSMUSG00000010290"	"AI597479"	""	"AI597479"
"84"	"ENSMUSG00000010311"	"Optc"	""	"Optc"
"85"	"ENSMUSG00000010453"	"Kansl3"	""	"Kansl3"
"86"	"ENSMUSG00000010609"	"Psen2"	""	"Psen2"
"87"	"ENSMUSG00000012187"	"Mogat1"	""	"Mogat1"
"88"	"ENSMUSG00000013275"	"Slc41a1"	""	"Slc41a1"
"89"	"ENSMUSG00000013465"	"Nelfb"	""	"Nelfb"
"90"	"ENSMUSG00000013593"	"Ndufs2"	""	"Ndufs2"
"91"	"ENSMUSG00000013698"	"Pea15a"	""	"Pea15a"
"92"	"ENSMUSG00000013973"	"Dedd"	""	"Dedd"
"93"	"ENSMUSG00000013997"	"Nit1"	""	"Nit1"
"94"	"ENSMUSG00000014226"	"Cacybp"	""	"Cacybp"
"95"	"ENSMUSG00000014602"	"Kif1a"	""	"Kif1a"
"96"	"ENSMUSG00000014852"	"Adamts13"	""	"Adamts13"
"97"	"ENSMUSG00000014867"	"Surf4"	""	"Surf4"
"98"	"ENSMUSG00000014873"	"Surf2"	""	"Surf2"
"99"	"ENSMUSG00000014980"	"Tsen15"	""	"Tsen15"
"100"	"ENSMUSG00000015083"	"C8g"	""	"C8g"
"101"	"ENSMUSG00000015085"	"Entpd2"	""	"Entpd2"
"102"	"ENSMUSG00000015087"	"Rabl6"	""	"Rabl6"
"103"	"ENSMUSG00000015090"	"Ptgds"	""	"Ptgds"
"104"	"ENSMUSG00000015092"	"Edf1"	""	"Edf1"
"105"	"ENSMUSG00000015093"	"Clic3"	""	"Clic3"
"106"	"ENSMUSG00000015094"	"Npdc1"	""	"Npdc1"
"107"	"ENSMUSG00000015095"	"Fbxw5"	""	"Fbxw5"
"108"	"ENSMUSG00000015222"	"Map2"	""	"Map2"
"109"	"ENSMUSG00000015314"	"Slamf6"	""	"Slamf6"
"110"	"ENSMUSG00000015316"	"Slamf1"	""	"Slamf1"
"111"	"ENSMUSG00000015335"	"Zdhhc12"	""	"Zdhhc12"
"112"	"ENSMUSG00000015337"	"Endog"	""	"Endog"
"113"	"ENSMUSG00000015355"	"Cd48"	""	"Cd48"
"114"	"ENSMUSG00000015484"	"Fam163a"	""	"Fam163a"
"115"	"ENSMUSG00000015488"	"Cacfd1"	""	"Cacfd1"
"116"	"ENSMUSG00000015619"	"Gata3"	""	"Gata3"
"117"	"ENSMUSG00000015776"	"Med22"	""	"Med22"
"118"	"ENSMUSG00000015787"	"Abo"	""	"Abo"
"119"	"ENSMUSG00000015790"	"Surf1"	""	"Surf1"
"120"	"ENSMUSG00000015829"	"Tnr"	""	"Tnr"
"121"	"ENSMUSG00000015843"	"Rxrg"	""	"Rxrg"
"122"	"ENSMUSG00000015846"	"Rxra"	""	"Rxra"
"123"	"ENSMUSG00000015961"	"Adss"	""	"Adss"
"124"	"ENSMUSG00000015962"	"1700016C15Rik"	""	"1700016C15Rik"
"125"	"ENSMUSG00000016179"	"Camk1g"	""	"Camk1g"
"126"	"ENSMUSG00000016181"	"Utp25"	""	"Utp25"
"127"	"ENSMUSG00000016194"	"Hsd11b1"	""	"Hsd11b1"
"128"	"ENSMUSG00000016200"	"Syt14"	""	"Syt14"
"129"	"ENSMUSG00000016262"	"Sertad4"	""	"Sertad4"
"130"	"ENSMUSG00000016481"	"Cr1l"	""	"Cr1l"
"131"	"ENSMUSG00000016493"	"Cd46"	""	"Cd46"
"132"	"ENSMUSG00000016494"	"Cd34"	""	"Cd34"
"133"	"ENSMUSG00000016524"	"Il19"	""	"Il19"
"134"	"ENSMUSG00000016526"	"Dyrk3"	""	"Dyrk3"
"135"	"ENSMUSG00000016528"	"Mapkapk2"	""	"Mapkapk2"
"136"	"ENSMUSG00000016529"	"Il10"	""	"Il10"
"137"	"ENSMUSG00000016918"	"Sulf1"	""	"Sulf1"
"138"	"ENSMUSG00000017144"	"Rnd3"	""	"Rnd3"
"139"	"ENSMUSG00000017412"	"Cacnb4"	""	"Cacnb4"
"140"	"ENSMUSG00000017418"	"Arl5b"	""	"Arl5b"
"141"	"ENSMUSG00000018189"	"Uchl5"	""	"Uchl5"
"142"	"ENSMUSG00000018196"	"Glrx2"	""	"Glrx2"
"143"	"ENSMUSG00000018199"	"Ro60"	""	"Ro60"
"144"	"ENSMUSG00000018417"	"Myo1b"	""	"Myo1b"
"145"	"ENSMUSG00000019230"	"Lhx9"	""	"Lhx9"
"146"	"ENSMUSG00000019699"	"Akt3"	""	"Akt3"
"147"	"ENSMUSG00000019715"	"Gle1"	""	"Gle1"
"148"	"ENSMUSG00000020423"	"Btg2"	""	"Btg2"
