Name	Description	OMIM	Species	RefSeq_Human	Promoter	Ortholog_Mouse	Evidence
IGHG4	immunoglobulin heavy constant gamma 4 (G4m marker)	147130	human	K01316	K01316		D
IGHG3	immunoglobulin heavy constant gamma 3 (G3m marker)	147120	human	M12958	M12958		D
APOC3	apolipoprotein C-III	107720	human	NM_000040	NM_000040	NM_023114	D
TNFRSF6	tumor necrosis factor receptor superfamily, member 6 (cCD95 Fas)	134637	human	NM_000043	NM_000043	NM_007987	D
CD3G	T-cell receptor/CD3gamma, CD3G antigen, gamma polypeptide (TiT3 complex)	186740	human	NM_000073	NM_000073	NM_009850	D
TNFSF5	t CD40L tumor necrosis factor (ligand) superfamily, member 5 (hyper-IgM syndrome)	300386	human	NM_000074	NM_000074	NM_011616	D
CD105	endoglin (Osler-Rendu-Weber syndrome 1) (ENG)	131195	human	NM_000118	NM_000118	NM_007932	D
ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	147840	human	NM_000201	NM_000201	NM_010493	D
TPMT	thiopurine S-methyltransferase	187680	human	NM_000367	NM_000367	NM_016785	D
IL2RA	i IL-2 receptor alpha chain interleukin 2 receptor, alpha chain	147730	human	NM_000417	NM_000417	NM_008367	D
SELE	selectin E (endothelial adhesion molecule 1) ELAM1	131210	human	NM_000450	NM_000450	NM_011345	D
TP53	tumor protein p53 (Li-Fraumeni syndrome)	191170	human	NM_000546	NM_000546	NM_011640	D
CRP	C-reactive protein, pentraxin-related	123260	human	NM_000567	NM_000567	NM_007768	D
IL1A	interleukin 1, alpha	147760	human	NM_000575	NM_000575	NM_010554	D
IL1B	interleukin 1, beta	147720	human	NM_000576	NM_000576	NM_008361	D
IL1RN	interleukin 1 receptor antagonist	147679	human	NM_000577	NM_000577	NM_031167	D
CCR5	chemokine (C-C motif) receptor 5	601373	human	NM_000579	NM_000579	NM_009917	D
IL8	interleukin 8	146930	human	NM_000584	NM_000584		D
IL2	interleukin 2	147680	human	NM_000586	NM_000586	NM_008366	D
IL9	interleukin 9	146931	human	NM_000590	NM_000590	NM_008373	D
TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	170260	human	NM_000593	NM_000593	NM_013683	D
TNF	tumor necrosis factor (TNF superfamily, member 2) TNF alpha	191160	human	NM_000594	NM_000594	NM_013693	D
LTA	lymphotoxin alpha (TNF superfamily, member 1)	153440	human	NM_000595	NM_000595	NM_010735	D
IL6	interleukin 6 (interferon, beta 2)	147620	human	NM_000600	NM_000600		D
CD44	CD44 antigen (homing function and Indian blood group system)	107269	human	NM_000610	NM_000610		D
NOS2A	nitric oxide synthase 2A (inducible, hepatocytes)	163730	human	NM_000625	NM_000625	NM_010927	D
SOD2	MnSOD, superoxide dismutase 2, mitochondrial	147460	human	NM_000636	NM_000636	NM_013671	D
TNFSF6	tumor necrosis factor (fas ligand) superfamily, member 6	134638	human	NM_000639	NM_000639	NM_010177	D
IL11	interleukin 11	147681	human	NM_000641	NM_000641	NM_008350	D
BDKRB1	bradykinin receptor B	600337	human	NM_000710	NM_000710	NM_007539	D
CSF1	colony stimulating factor 1 (macrophage) (M-CSF)	120420	human	NM_172212	NM_172212	NM_007778	D
CSF2	colony stimulating factor 2 (granulocyte-macrophage) (IGM-CSF)	138960	human	NM_000758	NM_000758	NM_009969	D
CSF3	colony stimulating factor 3 (granulocyte) (G-CSF)	138970	human	NM_000759	NM_000759	NM_009971	D
GSTP1	glutathione S-transferase pi	134660	human	NM_000852	NM_000852	NM_013541	D
NQO1	NAD(P)H dehydrogenase, quinone 1	125860	human	NM_000903	NM_000903	NM_008706	D
OPRM1	opioid receptor, mu 1	600018	human	NM_000914	NM_000914	NM_011013	D
PTAFR	platelet-activating factor receptor	173393	human	NM_000952	NM_000952		D
PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase) (COX-2)	600262	human	NM_000963	NM_000963	NM_011198	D
SCNN1A	Amiloride-sensitive sodium channel, nonvoltage-gated 1 alpha	600228	human	NM_001038	NM_001038	NM_011324	D
VCAM1	vascular cell adhesion molecule 1	192225	human	NM_001078	NM_001078	NM_011693	D
AGER	advanced glycosylation end product-specific receptor	600214	human	NM_172197	NM_172197	NM_007425	D
ALOX12B	arachidonate 12-lipoxygenase, 12R type	603741	human	NM_000697	NM_000697	NM_009659	D
BCL2L1	BCL2-like 1	600039	human	NM_001191	NM_001191	NM_009743	D
TNFRSF5	tumor necrosis factor receptor superfamily, member 5 (CD40)	109535	human	NM_001250	NM_001250	NM_011611	D
TNFRSF9	tumor necrosis factor receptor superfamily, member 9 (CD137)	602250	human	NM_001561	NM_001561	NM_011612	D
IRF7	interferon regulatory factor 7	605047	human	NM_004030	NM_004030	NM_016850	D
BLR1	Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5 CXCR5)	601613	human	NM_001716	NM_001716	NM_007551	D
CD48	CD48 antigen (B-cell membrane protein)	109530	human	NM_001778	NM_001778	NM_007649	D
CD69	CD69 antigen (p60, early T-cell activation antigen)	107273	human	NM_001781	NM_001781		D
CCR7	chemokine (C-C motif) receptor 7	600242	human	NM_001838	NM_001838	NM_007719	D
CR2	complement receptor 2 : complement component (3d/Epstein Barr virus) receptor 2	120650	human	NM_001877	NM_001877	NM_007758	D
F3	coagulation factor III (thromboplastin, tissue factor)	134390	human	NM_001993	NM_001993	NM_010171	D
HMOX1	heme oxygenase (decycling) 1	141250	human	NM_002133	NM_002133	NM_010442	D
TNC	tenascin C (hexabrachion)	187380	human	NM_002160	NM_002160	NM_011607	D
IFNB1	interferon, beta 1, fibroblast	147640	human	NM_002176	NM_002176	NM_010510	D
IL13	interleukin 13	147683	human	NM_002188	NM_002188	NM_008355	D
IL15RA	interleukin 15 receptor, alpha	601070	human	NM_172200	NM_172200	NM_008358	D
IRF1	interferon regulatory factor 1	147575	human	NM_002198	NM_002198	NM_008390	D
IRF2	interferon regulatory factor 2	147576	human	NM_002199	NM_002199	NM_008391	D
LTB	lymphotoxin beta (TNF superfamily, member 3)	600978	human	NM_009588	NM_009588	NM_008518	D
IRF4	interferon regulatory factor 4	601900	human	NM_002460	NM_002460	NM_013674	D
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	190080	human	NM_002467	NM_002467	NM_010849	D
NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	164012	human	NM_002502	NM_002502	NM_019408	D
PDGFB	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	190040	human	NM_002608	NM_002608	NM_011057	D
PLAU	urokinase-type plasminogen activator	173391	human	NM_002658	NM_002658	NM_008873	D
LMP2	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2) (PSMB9)	177045	human	NM_002800	NM_002800	NM_013585	D
PTX3	pentaxin-related gene, rapidly induced by IL-1 beta	602492	human	NM_002852	NM_002852		D
CCL2	chemokine (C-C motif) ligand 2 (MCP1/JE)	158105	human	NM_002982	NM_002982	NM_011333	D
CCL5	chemokine (C-C motif) ligand 5 (RANTES)	187011	human	NM_002985	NM_002985		D
CCL11	chemokine (C-C motif) ligand 11	601156	human	NM_002986	NM_002986	NM_011330	D
CXCL5	Neutrophil activating peptide-78, chemokine (C-X-C motif) ligand 5	600324	human	NM_002994	NM_002994	NM_009141	D
SELP	selectin P (granule membrane protein 140kDa, antigen CD62)	173610	human	NM_003005	NM_003005	NM_011347	D
