Gene	Function	Reference	Acc	HumanGeneName	Category	Evidence
BAFF	B-cell Activating Factor	Moon & Park , 2007	NM_006573	TNFSF13B	Cytokines	D
BLIMP-1	B lymphocyte-induced maturation protein-1	Calame, 2008	NM_00198	BLIMP1 /PRDM1	Cytokines	D
CCL5	T-cell secreted factor	Wickremasinghe et al, 2004 	NM_002985	CCL5	Cytokines	D
CCL15	Chemokine for cell attraction	Shin et al, 2005	NM_032965	CCL15	Cytokines	D
CCL17	Chemokine	Takegawa et al, 2008 	NM_002987	CCL17	Cytokines	D
CCL19	Recruitment of naive T cells to dendritic cells	Pietila et al, 2007 	NM_006274	CCL19	Cytokines	D
CCL20	Ligand of CC chemokine receptor 6	"Lee et al, 2008; Battaglia et al, 2007"	NM_004591	CCL20	Cytokines	D
CCL22	Epithelial cell chemokine at mucosa	Nakayama et al, 2004 	NM_002990	CCL22	Cytokines	D
CCL23	Monocyte chemokine	Shin et al, 2007	NM_005064	CCL23	Cytokines	D
CCL28	Chemokine for T-cell attraction	Ogawa et al, 2004 	NM_148672	CCL28	Cytokines	D
CINC-1	Cytokine-induced neutrophil chemoattractant	Blackwell et al, 1994 Ohtsuka et al, 1996	NM_001511	CXCL1	Cytokines	D
CXCL11	Chemokine ligand for CXCR3	Tensen et al, 1999	NM_005409	CXCL11	Cytokines	P
Eotaxin	beta Chemokine, eosinphil-specific	Hein et al, 1997	NM_001565. 	CXCL10	Cytokines	D
Fractalkine	TNF-induced chemokine	"Ahn et al, 2004;Bhavsar et al, 2008"	NP_002987	CXCL3	Cytokines	D
Gro alpha	Melanoma growth stimulating activity	Anisowicz et al, 1991	NM_001511	CXCL1	Cytokines	D
Gro beta	Chemokine	Anisowicz et al, 1991	AAP13104	GRO-beta	Cytokines	D
Gro gamma	Chemokine	Anisowicz et al, 1991	AAP13105. 	GRO-gamma	Cytokines	D
Gro-1	"Growth regulated oncogene; chemokine"	Wood, 1995	NM_001511	CXCL1	Cytokines	D
ICOS	Inducible co-stimulator	Haaning Anderson et al, 2003	NM_012092	ICOS	Cytokines	P
IFN-g	Interferon	"Sica et al, 1992; Sica et al, 1997"	NM_000619	IFNG	Cytokines	D
IL-1a	Interleukin-1a	Mori & Prager, 1996	NM_000575	IL1A	Cytokines	D
IL-1b	Interleukin-1b	Hiscott et al, 1993	NM_000576	IL1B	Cytokines	D
IL-1 receptor antagonist	Inhibitor of IL-1 activity	Smith et al, 1994	NM_173842	IL1RN	Cytokines	D
IL-2	Interleukin-2	"Serfling et al, 1989; Hoyos et al, 1989; Lai et al, 1995"	NM_000586	IL2	Cytokines	D
IL-6	Interleukin-6, inflammatory cytokine	"Libermann & Baltimore, 1990; Shimizu et al, 1990;Son et al, 2008"	NM_000600	IL6	Cytokines	D
IL-8	Interleukin-8, alpha-chemokine	"Kunsch & Rosen, 1993; Kang et al., 2007"	NM_000584	IL8	Cytokines	D
IL-9	Interleukin-9	"Zhu et al, 1996; Chen et al, 2008"	NM_000590	IL9	Cytokines	D
IL-10	Interleukin-10	"Xu & Shu, 2002; Cao et al, 2006"	NM_000572	IL10	Cytokines	D
IL-11	Interleukin-11	Bitko et al, 1997	NM_000641	IL11	Cytokines	D
IL-12B (p40)	Interleukin-12	Murphy et al, 1995	NM_002187	IL12B	Cytokines	D
IL-12A (p35)	Interleukin-12	Homma et al, 2007	NM_000882	IL12A	Cytokines	D
IL-13	Interleukin-13	Hinz et al, 2002	NM_002188	IL13	Cytokines	D
IL-15	Interleukin-15	Azimi et al, 1998	NM_172174	IL15	Cytokines	P
IL-17	Interleukin-17	Shen et al, 2006	NM_002190	IL17	Cytokines	D
IL-23A	Interleukin-23 (p19 gene)	"Carmody et al, 2006; Liu et al, 2007"	NM_016584	IL23A	Cytokines	D
IL-27	Interleukin-27 (p28 subunit)	Liu et al, 2007	NM_145659	IL27	Cytokines	D
EBI3	EBV-induced gene 3 (IL-27beta chain)	Poleganov et al, 2008	NM_005755	EBI3	Cytokines	D
beta-Interferon	Interferon	"Hiscott et al, 1989;"	NM_002176	IFNB1	Cytokines	D
IP-10	alpha Chemokine	"Ohmori & Hamilton, 1993; Yang et al, 2007"	NM_002994	CXCL5	Cytokines	D
KC	alpha Chemokine	Ohmori et al, 1995	S79767	KC	Cytokines	D
IiGp1	Cytokine	Bunting et al, 2007	NM_021792	Iigp1	Cytokines	D
LIX	LPS-induced CXC chemokines	Smith et al, 2002	NM_002993	CXCL6	Cytokines	P
Lymphotoxin a	TNF-like cytokine	Worm et al, 1998	NM_000595	LTA	Cytokines	D
Lymphotoxin b	Anchors TNF to cell surface	Kuprash et al, 1996	NM_002341	LTB	Cytokines	D
